日期,周次,当日重点,执行人,任务,当日交付物,状态
2026-07-10,第1周,发布第一批内容,Howard,审稿发布 1 篇小红书长文 + 1 条短视频 + 朋友圈,1 篇小红书长文、1 条短视频、2 篇小红书笔记、2 个闲鱼商品可上架,未开始
2026-07-10,第1周,发布第一批内容,Howard,设置闲鱼站内回复话术,1 篇小红书长文、1 条短视频、2 篇小红书笔记、2 个闲鱼商品可上架,未开始
2026-07-10,第1周,发布第一批内容,Brian,做小红书封面 2 张、视频号封面 1 张,1 篇小红书长文、1 条短视频、2 篇小红书笔记、2 个闲鱼商品可上架,未开始
2026-07-10,第1周,发布第一批内容,Brian,补报价图和闲鱼商品图细节,1 篇小红书长文、1 条短视频、2 篇小红书笔记、2 个闲鱼商品可上架,未开始
2026-07-11,第1周,渠道沟通和熟人转化,Howard,联系多淼和广告公司确认渠道价,渠道反馈记录、朋友圈转化文案、报价图 v2,未开始
2026-07-11,第1周,渠道沟通和熟人转化,Howard,检查闲鱼曝光和私信,渠道反馈记录、朋友圈转化文案、报价图 v2,未开始
2026-07-11,第1周,渠道沟通和熟人转化,Brian,根据反馈修改报价图、案例图和闲鱼主图,渠道反馈记录、朋友圈转化文案、报价图 v2,未开始
2026-07-12,第1周,周复盘,Howard,检查启动准备完成率,启动准备复盘、第 1 周复盘表、第 2 周任务清单,未开始
2026-07-12,第1周,周复盘,Howard,统计本周物料、发布、询盘,启动准备复盘、第 1 周复盘表、第 2 周任务清单,未开始
2026-07-12,第1周,周复盘,Howard,确定第 2 周主案例,启动准备复盘、第 1 周复盘表、第 2 周任务清单,未开始
2026-07-12,第1周,周复盘,Brian,整理本周最终素材包,启动准备复盘、第 1 周复盘表、第 2 周任务清单,未开始
2026-07-12,第1周,周复盘,Brian,列下周缺素材清单,启动准备复盘、第 1 周复盘表、第 2 周任务清单,未开始
2026-07-13,第2周,案例库结构,Howard,按 7 个收费项目补客户背景和可公开边界,7 个案例卡文字框架、案例封面模板,未开始
2026-07-13,第2周,案例库结构,Brian,每个案例选 3-5 张图，做统一水印和封面模板,7 个案例卡文字框架、案例封面模板,未开始
2026-07-14,第2周,文家姑娘酸奶,Howard,写文家姑娘案例初稿,文家姑娘小红书初稿、闲鱼第 1 轮优化,未开始
2026-07-14,第2周,文家姑娘酸奶,Howard,复盘闲鱼前 7 天数据,文家姑娘小红书初稿、闲鱼第 1 轮优化,未开始
2026-07-14,第2周,文家姑娘酸奶,Brian,做文家姑娘案例长图和 mockup,文家姑娘小红书初稿、闲鱼第 1 轮优化,未开始
2026-07-15,第2周,Logo 案例,Howard,写半间茶舍 + 汇泽万帮 Logo 合并案例提纲,Logo 案例提纲、2 组案例图,未开始
2026-07-15,第2周,Logo 案例,Brian,做 2 组 Logo 前后对比和应用图,Logo 案例提纲、2 组案例图,未开始
2026-07-16,第2周,PPT 案例矩阵,Howard,整理多淼、田文华、讲宪法 PPT 方法论,PPT 方法论短文、短视频素材 2 条,未开始
2026-07-16,第2周,PPT 案例矩阵,Brian,做 PPT 前后对比短视频素材 2 条,PPT 方法论短文、短视频素材 2 条,未开始
2026-07-17,第2周,发布和分发,Howard,发布文家姑娘内容,1 篇小红书长文、2 篇笔记、1-2 条短视频,未开始
2026-07-17,第2周,发布和分发,Howard,朋友圈发案例快照,1 篇小红书长文、2 篇笔记、1-2 条短视频,未开始
2026-07-17,第2周,发布和分发,Brian,做小红书封面、视频号封面,1 篇小红书长文、2 篇笔记、1-2 条短视频,未开始
2026-07-18,第2周,多淼联合内容,Howard,写联合承接说明短文,多淼联合服务图文 v1,未开始
2026-07-18,第2周,多淼联合内容,Brian,做联合服务流程图和多淼协作能力卡,多淼联合服务图文 v1,未开始
2026-07-19,第2周,周复盘,Howard,检查 7 个案例卡是否齐全,7 个基础案例卡、第 2 周复盘表,未开始
2026-07-19,第2周,周复盘,Brian,整理已发布素材和剩余缺图,7 个基础案例卡、第 2 周复盘表,未开始
2026-07-20,第3周,Logo/VI 主题周规划,Howard,确认本周标题和内容排期,本周内容排期、主题封面模板,未开始
2026-07-20,第3周,Logo/VI 主题周规划,Brian,做 Logo/VI 主题视觉模板,本周内容排期、主题封面模板,未开始
2026-07-21,第3周,半间茶舍案例,Howard,写半间茶舍案例正文,半间茶舍案例初稿、短视频 v1,未开始
2026-07-21,第3周,半间茶舍案例,Brian,做半间茶舍 Logo 应用图、短视频过程图,半间茶舍案例初稿、短视频 v1,未开始
2026-07-22,第3周,汇泽万帮案例,Howard,写汇泽万帮案例短文,汇泽万帮案例短文、小红书 v1,未开始
2026-07-22,第3周,汇泽万帮案例,Brian,做汇泽万帮 Logo 应用图和小红书封面,汇泽万帮案例短文、小红书 v1,未开始
2026-07-23,第3周,Logo 报价科普,Howard,写 Logo 基础版和标准版区别,Logo 报价科普图文,未开始
2026-07-23,第3周,Logo 报价科普,Brian,做报价对比图和 3 张解释卡,Logo 报价科普图文,未开始
2026-07-24,第3周,多淼联合服务,Howard,写联合承接说明,多淼联合业务说明 v1,未开始
2026-07-24,第3周,多淼联合服务,Brian,做联合业务流程图 v2 和服务卡,多淼联合业务说明 v1,未开始
2026-07-25,第3周,发布和客户触达,Howard,发布 Logo/VI 内容,本周发布包、触达记录,未开始
2026-07-25,第3周,发布和客户触达,Howard,私聊触达潜在线索,本周发布包、触达记录,未开始
2026-07-25,第3周,发布和客户触达,Brian,按平台尺寸导出封面和图文,本周发布包、触达记录,未开始
2026-07-26,第3周,周复盘,Howard,统计 Logo/VI 内容反馈,第 3 周复盘表、下周选题,未开始
2026-07-26,第3周,周复盘,Brian,整理 Logo/VI 素材库,第 3 周复盘表、下周选题,未开始
2026-07-27,第4周,效果图主题周规划,Howard,确认效果图基础包/标准包话术,本周内容排期、效果图封面模板,未开始
2026-07-27,第4周,效果图主题周规划,Brian,做效果图主题封面模板,本周内容排期、效果图封面模板,未开始
2026-07-28,第4周,米兰坊案例,Howard,写米兰坊案例正文,米兰坊案例初稿、短视频 v1,未开始
2026-07-28,第4周,米兰坊案例,Brian,做米兰坊前后对比、场景图、短视频素材,米兰坊案例初稿、短视频 v1,未开始
2026-07-29,第4周,铺宝宝测试案例,Howard,写铺宝宝脱敏案例短文,铺宝宝小红书图文,未开始
2026-07-29,第4周,铺宝宝测试案例,Brian,做铺宝宝效果图对比图和小红书封面,铺宝宝小红书图文,未开始
2026-07-30,第4周,效果图报价科普,Howard,写店面效果图报价科普,效果图报价科普图文,未开始
2026-07-30,第4周,效果图报价科普,Brian,做基础包/标准包对比图,效果图报价科普图文,未开始
2026-07-31,第4周,发布和触达,Howard,发布效果图主题内容,本周发布包、触达记录,未开始
2026-07-31,第4周,发布和触达,Howard,联系门店潜在线索,本周发布包、触达记录,未开始
2026-07-31,第4周,发布和触达,Brian,导出发布素材，补朋友圈图,本周发布包、触达记录,未开始
2026-08-01,第4周,月度数据整理,Howard,统计 7 月内容数、询盘数、报价数、成交数,7 月数据表、素材归档,未开始
2026-08-01,第4周,月度数据整理,Brian,整理 7 月所有视觉素材和发布截图,7 月数据表、素材归档,未开始
2026-08-02,第4周,月度复盘会,Howard,判断下月主推产品,7 月复盘结论、8 月重点,未开始
2026-08-02,第4周,月度复盘会,Brian,输出月度案例作品集 v1,7 月复盘结论、8 月重点,未开始
